domain,severity,public_comment,private_comment
activism.openworlds.info,suspend,No-QAnon blocklist,No-QAnon blocklist
antivaxxer.icu,suspend,No-QAnon blocklist,No-QAnon blocklist
auf1.eu,suspend,No-QAnon blocklist,No-QAnon blocklist
bae.st,suspend,No-QAnon blocklist,No-QAnon blocklist
bitcoinhackers.org,suspend,No-QAnon blocklist,No-QAnon blocklist
bittube.video,suspend,No-QAnon blocklist,No-QAnon blocklist
blob.cat,suspend,No-QAnon blocklist,No-QAnon blocklist
brave.cafe,suspend,No-QAnon blocklist,No-QAnon blocklist
brighteon.social,suspend,No-QAnon blocklist,No-QAnon blocklist
cawfee.club,suspend,No-QAnon blocklist,No-QAnon blocklist
censorship.icu,suspend,No-QAnon blocklist,No-QAnon blocklist
charlestown.social,suspend,No-QAnon blocklist,No-QAnon blocklist
communities.win,suspend,No-QAnon blocklist,No-QAnon blocklist
controverse.tube,suspend,No-QAnon blocklist,No-QAnon blocklist
counter.fedi.live,suspend,No-QAnon blocklist,No-QAnon blocklist
detroitriotcity.com,suspend,No-QAnon blocklist,No-QAnon blocklist
distrotoot.com,suspend,No-QAnon blocklist,No-QAnon blocklist
djsumdog.com,suspend,No-QAnon blocklist,No-QAnon blocklist
eveningzoo.club,suspend,No-QAnon blocklist,No-QAnon blocklist
explosion.party,suspend,No-QAnon blocklist,No-QAnon blocklist
fedi.club,suspend,No-QAnon blocklist,No-QAnon blocklist
freeatlantis.com,suspend,No-QAnon blocklist,No-QAnon blocklist
freespeech.fans,suspend,No-QAnon blocklist,No-QAnon blocklist
freespeech.firedragonstudios.com,suspend,No-QAnon blocklist,No-QAnon blocklist
freespeech.group,suspend,No-QAnon blocklist,No-QAnon blocklist
freespeechextremist.com,suspend,No-QAnon blocklist,No-QAnon blocklist
freetalklive.com,suspend,No-QAnon blocklist,No-QAnon blocklist
freezepeach.xyz,suspend,No-QAnon blocklist,No-QAnon blocklist
friendica.eskimo.com,suspend,No-QAnon blocklist,No-QAnon blocklist
froth.zone,suspend,No-QAnon blocklist,No-QAnon blocklist
fsmi.social,suspend,No-QAnon blocklist,No-QAnon blocklist
gab.ai,suspend,No-QAnon blocklist,No-QAnon blocklist
gab.com,suspend,No-QAnon blocklist,No-QAnon blocklist
gameliberty.club,suspend,No-QAnon blocklist,No-QAnon blocklist
gearlandia.haus,suspend,No-QAnon blocklist,No-QAnon blocklist
gegenstimme.tv,suspend,No-QAnon blocklist,No-QAnon blocklist
getindor.com,suspend,No-QAnon blocklist,No-QAnon blocklist
girevik.su,suspend,No-QAnon blocklist,No-QAnon blocklist
gitmo.life,suspend,No-QAnon blocklist,No-QAnon blocklist
gleasonator.com,suspend,No-QAnon blocklist,No-QAnon blocklist
glowers.club,suspend,No-QAnon blocklist,No-QAnon blocklist
gomastodon.cz,suspend,No-QAnon blocklist,No-QAnon blocklist
gorf.tube,suspend,No-QAnon blocklist,No-QAnon blocklist
goyim.app,suspend,No-QAnon blocklist,No-QAnon blocklist
iddqd.social,suspend,No-QAnon blocklist,No-QAnon blocklist
itmslaves.com,suspend,No-QAnon blocklist,No-QAnon blocklist
justicewarrior.social,suspend,No-QAnon blocklist,No-QAnon blocklist
katiehopkinspolitical.icu,suspend,No-QAnon blocklist,No-QAnon blocklist
kenfm.inter21.net,suspend,No-QAnon blocklist,No-QAnon blocklist
kiwifarms.cc,suspend,No-QAnon blocklist,No-QAnon blocklist
lain.com,suspend,No-QAnon blocklist,No-QAnon blocklist
lanceur-alerte.tv,suspend,No-QAnon blocklist,No-QAnon blocklist
leafposter.club,suspend,No-QAnon blocklist,No-QAnon blocklist
liberdon.com,suspend,No-QAnon blocklist,No-QAnon blocklist
libre.tube,suspend,No-QAnon blocklist,No-QAnon blocklist
libre.video,suspend,No-QAnon blocklist,No-QAnon blocklist
librenet.co.za,suspend,No-QAnon blocklist,No-QAnon blocklist
m.cmx.im,suspend,No-QAnon blocklist,No-QAnon blocklist
maindreieck-tv.de,suspend,No-QAnon blocklist,No-QAnon blocklist
mastodon.derveni.org,suspend,No-QAnon blocklist,No-QAnon blocklist
mastodon.soykaf.com,suspend,No-QAnon blocklist,No-QAnon blocklist
